source method,source path,target component,target name
get,/users/{uid_domain}/{uid},brig,get-users-by-ids
post,/list-users,brig,get-users-by-ids
put,/self,brig,on-user-deleted-connections
delete,/self,brig,on-user-deleted-connections
delete,/self/phone,brig,on-user-deleted-connections
delete,/self/email,brig,on-user-deleted-connections
put,/self/locale,brig,on-user-deleted-connections
put,/self/handle,brig,on-user-deleted-connections
post,/register,brig,on-user-deleted-connections
post,/delete,brig,on-user-deleted-connections
get,/activate,brig,on-user-deleted-connections
post,/activate,brig,on-user-deleted-connections
get,/users/{uid_domain}/{uid}/clients,brig,get-user-clients
get,/users/{uid_domain}/{uid}/clients/{client},brig,get-user-clients
post,/users/list-clients,brig,get-user-clients
get,/users/{uid_domain}/{uid}/prekeys/{client},brig,claim-prekey
get,/users/{uid_domain}/{uid}/prekeys,brig,claim-prekey-bundle
post,/users/list-prekeys,brig,claim-multi-prekey-bundle
post,/clients,brig,on-user-deleted-connections
put,/connections/{uid_domain}/{uid},brig,send-connection-action
post,/connections/{uid_domain}/{uid},brig,send-connection-action
get,/search/contacts,brig,get-users-by-ids
get,/search/contacts,brig,search-users
post,/mls/key-packages/claim/{user_domain}/{user},brig,claim-key-packages
post,/access,brig,on-user-deleted-connections
post,/login,brig,on-user-deleted-connections
get,/assets/{key_domain}/{key},cargohold,get-asset
get,/assets/{key_domain}/{key},cargohold,stream-asset
put,/conversations/{cnv},galley,on-conversation-updated
put,/conversations/{cnv},galley,on-mls-message-sent
put,/conversations/{cnv},galley,on-new-remote-conversation
get,/conversations/{cnv_domain}/{cnv},galley,get-conversations
get,/conversations/{cnv_domain}/{cnv}/groupinfo,galley,query-group-info
post,/conversations/list,galley,get-conversations
post,/conversations/join,galley,on-conversation-updated
post,/conversations/join,galley,on-new-remote-conversation
post,/conversations,galley,on-conversation-created
post,/conversations/one2one,galley,on-conversation-created
post,/conversations/{cnv_domain}/{cnv}/members,galley,on-conversation-updated
post,/conversations/{cnv_domain}/{cnv}/members,galley,on-mls-message-sent
post,/conversations/{cnv_domain}/{cnv}/members,galley,on-new-remote-conversation
post,/conversations/{cnv}/join,galley,on-conversation-updated
post,/conversations/{cnv}/join,galley,on-new-remote-conversation
post,/conversations/{cnv_domain}/{cnv}/typing,galley,on-typing-indicator-updated
put,/conversations/{cnv_domain}/{cnv}/members/{usr_domain}/{usr},galley,on-conversation-updated
put,/conversations/{cnv_domain}/{cnv}/members/{usr_domain}/{usr},galley,on-mls-message-sent
put,/conversations/{cnv_domain}/{cnv}/members/{usr_domain}/{usr},galley,on-new-remote-conversation
delete,/conversations/{cnv_domain}/{cnv}/members/{usr_domain}/{usr},galley,leave-conversation
delete,/conversations/{cnv_domain}/{cnv}/members/{usr_domain}/{usr},galley,on-conversation-updated
delete,/conversations/{cnv_domain}/{cnv}/members/{usr_domain}/{usr},galley,on-mls-message-sent
delete,/conversations/{cnv_domain}/{cnv}/members/{usr_domain}/{usr},galley,on-new-remote-conversation
put,/conversations/{cnv}/members/{usr},galley,on-conversation-updated
put,/conversations/{cnv}/members/{usr},galley,on-mls-message-sent
put,/conversations/{cnv}/members/{usr},galley,on-new-remote-conversation
put,/conversations/{cnv}/name,galley,on-conversation-updated
put,/conversations/{cnv}/name,galley,on-mls-message-sent
put,/conversations/{cnv}/name,galley,on-new-remote-conversation
put,/conversations/{cnv_domain}/{cnv}/name,galley,on-conversation-updated
put,/conversations/{cnv_domain}/{cnv}/name,galley,on-mls-message-sent
put,/conversations/{cnv_domain}/{cnv}/name,galley,on-new-remote-conversation
put,/conversations/{cnv}/message-timer,galley,on-conversation-updated
put,/conversations/{cnv}/message-timer,galley,on-mls-message-sent
put,/conversations/{cnv}/message-timer,galley,on-new-remote-conversation
put,/conversations/{cnv_domain}/{cnv}/message-timer,galley,on-conversation-updated
put,/conversations/{cnv_domain}/{cnv}/message-timer,galley,on-mls-message-sent
put,/conversations/{cnv_domain}/{cnv}/message-timer,galley,on-new-remote-conversation
put,/conversations/{cnv}/receipt-mode,galley,on-conversation-updated
put,/conversations/{cnv}/receipt-mode,galley,on-mls-message-sent
put,/conversations/{cnv}/receipt-mode,galley,on-new-remote-conversation
put,/conversations/{cnv}/receipt-mode,galley,update-conversation
put,/conversations/{cnv_domain}/{cnv}/receipt-mode,galley,on-conversation-updated
put,/conversations/{cnv_domain}/{cnv}/receipt-mode,galley,on-mls-message-sent
put,/conversations/{cnv_domain}/{cnv}/receipt-mode,galley,on-new-remote-conversation
put,/conversations/{cnv_domain}/{cnv}/receipt-mode,galley,update-conversation
put,/conversations/{cnv_domain}/{cnv}/access,galley,on-conversation-updated
put,/conversations/{cnv_domain}/{cnv}/access,galley,on-mls-message-sent
put,/conversations/{cnv_domain}/{cnv}/access,galley,on-new-remote-conversation
delete,/teams/{tid}/conversations/{cid},galley,on-conversation-updated
delete,/teams/{tid}/conversations/{cid},galley,on-mls-message-sent
delete,/teams/{tid}/conversations/{cid},galley,on-new-remote-conversation
post,/conversations/{cnv}/otr/messages,galley,on-message-sent
post,/conversations/{cnv}/otr/messages,brig,get-user-clients
post,/conversations/{cnv_domain}/{cnv}/proteus/messages,brig,get-user-clients
post,/conversations/{cnv_domain}/{cnv}/proteus/messages,galley,on-message-sent
post,/conversations/{cnv_domain}/{cnv}/proteus/messages,galley,send-message
post,/bot/messages,galley,on-message-sent
post,/bot/messages,brig,get-user-clients
put,/teams/{tid}/features/legalhold,galley,on-conversation-updated
put,/teams/{tid}/features/legalhold,galley,on-mls-message-sent
put,/teams/{tid}/features/legalhold,galley,on-new-remote-conversation
post,/mls/welcome,galley,mls-welcome
post,/mls/messages,galley,on-mls-message-sent
post,/mls/messages,galley,send-mls-message
post,/mls/messages,galley,on-conversation-updated
post,/mls/messages,galley,on-new-remote-conversation
post,/mls/messages,brig,get-mls-clients
post,/mls/commit-bundles,galley,on-mls-message-sent
post,/mls/commit-bundles,galley,mls-welcome
post,/mls/commit-bundles,galley,send-mls-commit-bundle
post,/mls/commit-bundles,galley,on-conversation-updated
post,/mls/commit-bundles,galley,on-new-remote-conversation
post,/mls/commit-bundles,brig,get-mls-clients
delete,/teams/{tid}/legalhold/settings,galley,on-conversation-updated
delete,/teams/{tid}/legalhold/settings,galley,on-mls-message-sent
delete,/teams/{tid}/legalhold/settings,galley,on-new-remote-conversation
post,/teams/{tid}/legalhold/{uid},galley,on-conversation-updated
post,/teams/{tid}/legalhold/{uid},galley,on-mls-message-sent
post,/teams/{tid}/legalhold/{uid},galley,on-new-remote-conversation
delete,/teams/{tid}/legalhold/{uid},galley,on-conversation-updated
delete,/teams/{tid}/legalhold/{uid},galley,on-mls-message-sent
delete,/teams/{tid}/legalhold/{uid},galley,on-new-remote-conversation
post,/teams/{tid}/legalhold/consent,galley,on-conversation-updated
post,/teams/{tid}/legalhold/consent,galley,on-mls-message-sent
post,/teams/{tid}/legalhold/consent,galley,on-new-remote-conversation
put,/teams/{tid}/legalhold/{uid}/approve,galley,on-conversation-updated
put,/teams/{tid}/legalhold/{uid}/approve,galley,on-mls-message-sent
put,/teams/{tid}/legalhold/{uid}/approve,galley,on-new-remote-conversation
post,/i/users,brig,on-user-deleted-connections
post,/i/users/spar,brig,on-user-deleted-connections
post,/i/legalhold-login,brig,on-user-deleted-connections
post,/i/sso-login,brig,on-user-deleted-connections
